FID,network_name,station_name,region_name,station_id,station_eu_code,municipality_name,station_municipality,station_position,station_lat,station_lon,station_altitude,pollutant_id,pollutant_label,pollutant_notation,spo_local_id,spp_local_id,sam_local_id,data_record_start_time,data_record_end_time,data_record_value,observation_unit_notation,observation_unit_label,primary_observation_notation,primary_observation_label,data_record_id,sampling_point_id,row_id,flag_cur_snapshot,pollutant_level,measurement_type_label,measurement_method_label
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-4aea,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,20,Benzene (air),C6H6,SPO.IT1598A_20_GC-FID_2005-01-01_00:00:00,SPP.IT1598A_20_GC-FID_2005-01-01_00:00:00,SAM.IT1598A_20_GC-FID_2005-01-01_00:00:00,2025-04-09T02:00:00,2025-04-09T03:00:00,0.33,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,498014545,1038402,229423,0,6,Metodo Automatico,Gas chromatography followed by flame ionization detection (GC-FID)
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-4ae9,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,20,Benzene (air),C6H6,SPO.IT1598A_20_GC-FID_2005-01-01_00:00:00,SPP.IT1598A_20_GC-FID_2005-01-01_00:00:00,SAM.IT1598A_20_GC-FID_2005-01-01_00:00:00,2025-04-09T03:00:00,2025-04-09T04:00:00,0.28,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,498024745,1038402,229424,0,6,Metodo Automatico,Gas chromatography followed by flame ionization detection (GC-FID)
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-4ae8,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,20,Benzene (air),C6H6,SPO.IT1598A_20_GC-FID_2005-01-01_00:00:00,SPP.IT1598A_20_GC-FID_2005-01-01_00:00:00,SAM.IT1598A_20_GC-FID_2005-01-01_00:00:00,2025-04-09T04:00:00,2025-04-09T05:00:00,0.27,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,498026289,1038402,229425,0,6,Metodo Automatico,Gas chromatography followed by flame ionization detection (GC-FID)
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-4ae7,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,20,Benzene (air),C6H6,SPO.IT1598A_20_GC-FID_2005-01-01_00:00:00,SPP.IT1598A_20_GC-FID_2005-01-01_00:00:00,SAM.IT1598A_20_GC-FID_2005-01-01_00:00:00,2025-04-09T05:00:00,2025-04-09T06:00:00,0.29,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,498032699,1038402,229426,0,6,Metodo Automatico,Gas chromatography followed by flame ionization detection (GC-FID)
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-4ae6,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,20,Benzene (air),C6H6,SPO.IT1598A_20_GC-FID_2005-01-01_00:00:00,SPP.IT1598A_20_GC-FID_2005-01-01_00:00:00,SAM.IT1598A_20_GC-FID_2005-01-01_00:00:00,2025-04-09T06:00:00,2025-04-09T07:00:00,0.31,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,498046518,1038402,229427,0,6,Metodo Automatico,Gas chromatography followed by flame ionization detection (GC-FID)
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-4ae5,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,20,Benzene (air),C6H6,SPO.IT1598A_20_GC-FID_2005-01-01_00:00:00,SPP.IT1598A_20_GC-FID_2005-01-01_00:00:00,SAM.IT1598A_20_GC-FID_2005-01-01_00:00:00,2025-04-09T07:00:00,2025-04-09T08:00:00,0.32,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,498048418,1038402,229428,0,6,Metodo Automatico,Gas chromatography followed by flame ionization detection (GC-FID)
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-4ae4,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,20,Benzene (air),C6H6,SPO.IT1598A_20_GC-FID_2005-01-01_00:00:00,SPP.IT1598A_20_GC-FID_2005-01-01_00:00:00,SAM.IT1598A_20_GC-FID_2005-01-01_00:00:00,2025-04-09T08:00:00,2025-04-09T09:00:00,0.32,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,498060887,1038402,229429,0,6,Metodo Automatico,Gas chromatography followed by flame ionization detection (GC-FID)
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-4ae3,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,20,Benzene (air),C6H6,SPO.IT1598A_20_GC-FID_2005-01-01_00:00:00,SPP.IT1598A_20_GC-FID_2005-01-01_00:00:00,SAM.IT1598A_20_GC-FID_2005-01-01_00:00:00,2025-04-09T09:00:00,2025-04-09T10:00:00,0.4,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,498079207,1038402,229430,0,6,Metodo Automatico,Gas chromatography followed by flame ionization detection (GC-FID)
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-4ae2,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,20,Benzene (air),C6H6,SPO.IT1598A_20_GC-FID_2005-01-01_00:00:00,SPP.IT1598A_20_GC-FID_2005-01-01_00:00:00,SAM.IT1598A_20_GC-FID_2005-01-01_00:00:00,2025-04-09T10:00:00,2025-04-09T11:00:00,0.73,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,498097425,1038402,229431,0,6,Metodo Automatico,Gas chromatography followed by flame ionization detection (GC-FID)
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-4ae1,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,20,Benzene (air),C6H6,SPO.IT1598A_20_GC-FID_2005-01-01_00:00:00,SPP.IT1598A_20_GC-FID_2005-01-01_00:00:00,SAM.IT1598A_20_GC-FID_2005-01-01_00:00:00,2025-04-09T11:00:00,2025-04-09T12:00:00,1.01,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,498109707,1038402,229432,0,5,Metodo Automatico,Gas chromatography followed by flame ionization detection (GC-FID)
