FID,network_name,station_name,region_name,station_id,station_eu_code,municipality_name,station_municipality,station_position,station_lat,station_lon,station_altitude,pollutant_id,pollutant_label,pollutant_notation,spo_local_id,spp_local_id,sam_local_id,data_record_start_time,data_record_end_time,data_record_value,observation_unit_notation,observation_unit_label,primary_observation_notation,primary_observation_label,data_record_id,sampling_point_id,row_id,flag_cur_snapshot,pollutant_level,measurement_type_label,measurement_method_label
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-13a4,REGIONE PUGLIA,molfetta VERDI,PUGLIA,249920,IT1603A,Molfetta,PIAZZA VERDI,POINT (16.605 41.200278),41.200278,16.605,10,8,Nitrogen dioxide (air),NO2,SPO.IT1603A_8_chemi_2004-05-01_00:00:00,SPP.IT1603A_8_chemi_2004-05-01_00:00:00,SAM.IT1603A_8_chemi_2004-05-01_00:00:00,2025-04-09T20:00:00,2025-04-09T21:00:00,15.65,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,498203337,1038411,230284,0,6,Metodo Automatico,Chemiluminescence
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-13a3,REGIONE PUGLIA,molfetta VERDI,PUGLIA,249920,IT1603A,Molfetta,PIAZZA VERDI,POINT (16.605 41.200278),41.200278,16.605,10,8,Nitrogen dioxide (air),NO2,SPO.IT1603A_8_chemi_2004-05-01_00:00:00,SPP.IT1603A_8_chemi_2004-05-01_00:00:00,SAM.IT1603A_8_chemi_2004-05-01_00:00:00,2025-04-09T21:00:00,2025-04-09T22:00:00,19.79,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,498214164,1038411,230285,0,6,Metodo Automatico,Chemiluminescence
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-13a2,REGIONE PUGLIA,molfetta VERDI,PUGLIA,249920,IT1603A,Molfetta,PIAZZA VERDI,POINT (16.605 41.200278),41.200278,16.605,10,8,Nitrogen dioxide (air),NO2,SPO.IT1603A_8_chemi_2004-05-01_00:00:00,SPP.IT1603A_8_chemi_2004-05-01_00:00:00,SAM.IT1603A_8_chemi_2004-05-01_00:00:00,2025-04-09T22:00:00,2025-04-09T23:00:00,49.47,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,498223319,1038411,230286,0,6,Metodo Automatico,Chemiluminescence
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-13a1,REGIONE PUGLIA,molfetta VERDI,PUGLIA,249920,IT1603A,Molfetta,PIAZZA VERDI,POINT (16.605 41.200278),41.200278,16.605,10,8,Nitrogen dioxide (air),NO2,SPO.IT1603A_8_chemi_2004-05-01_00:00:00,SPP.IT1603A_8_chemi_2004-05-01_00:00:00,SAM.IT1603A_8_chemi_2004-05-01_00:00:00,2025-04-09T23:00:00,2025-04-10T00:00:00,43.53,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,498235821,1038411,230287,0,6,Metodo Automatico,Chemiluminescence
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-13a0,REGIONE PUGLIA,molfetta VERDI,PUGLIA,249920,IT1603A,Molfetta,PIAZZA VERDI,POINT (16.605 41.200278),41.200278,16.605,10,8,Nitrogen dioxide (air),NO2,SPO.IT1603A_8_chemi_2004-05-01_00:00:00,SPP.IT1603A_8_chemi_2004-05-01_00:00:00,SAM.IT1603A_8_chemi_2004-05-01_00:00:00,2025-04-10T00:00:00,2025-04-10T01:00:00,32.67,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,498242884,1038411,230288,0,6,Metodo Automatico,Chemiluminescence
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-139f,REGIONE PUGLIA,molfetta VERDI,PUGLIA,249920,IT1603A,Molfetta,PIAZZA VERDI,POINT (16.605 41.200278),41.200278,16.605,10,8,Nitrogen dioxide (air),NO2,SPO.IT1603A_8_chemi_2004-05-01_00:00:00,SPP.IT1603A_8_chemi_2004-05-01_00:00:00,SAM.IT1603A_8_chemi_2004-05-01_00:00:00,2025-04-10T01:00:00,2025-04-10T02:00:00,22.71,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,498251795,1038411,230289,0,6,Metodo Automatico,Chemiluminescence
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-139e,REGIONE PUGLIA,molfetta VERDI,PUGLIA,249920,IT1603A,Molfetta,PIAZZA VERDI,POINT (16.605 41.200278),41.200278,16.605,10,8,Nitrogen dioxide (air),NO2,SPO.IT1603A_8_chemi_2004-05-01_00:00:00,SPP.IT1603A_8_chemi_2004-05-01_00:00:00,SAM.IT1603A_8_chemi_2004-05-01_00:00:00,2025-04-10T02:00:00,2025-04-10T03:00:00,20.26,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,498255912,1038411,230290,0,6,Metodo Automatico,Chemiluminescence
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-139d,REGIONE PUGLIA,molfetta VERDI,PUGLIA,249920,IT1603A,Molfetta,PIAZZA VERDI,POINT (16.605 41.200278),41.200278,16.605,10,8,Nitrogen dioxide (air),NO2,SPO.IT1603A_8_chemi_2004-05-01_00:00:00,SPP.IT1603A_8_chemi_2004-05-01_00:00:00,SAM.IT1603A_8_chemi_2004-05-01_00:00:00,2025-04-10T03:00:00,2025-04-10T04:00:00,13.57,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,498268975,1038411,230291,0,6,Metodo Automatico,Chemiluminescence
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-139c,REGIONE PUGLIA,molfetta VERDI,PUGLIA,249920,IT1603A,Molfetta,PIAZZA VERDI,POINT (16.605 41.200278),41.200278,16.605,10,8,Nitrogen dioxide (air),NO2,SPO.IT1603A_8_chemi_2004-05-01_00:00:00,SPP.IT1603A_8_chemi_2004-05-01_00:00:00,SAM.IT1603A_8_chemi_2004-05-01_00:00:00,2025-04-10T05:00:00,2025-04-10T06:00:00,15.18,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,498278064,1038411,230292,0,6,Metodo Automatico,Chemiluminescence
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-139b,REGIONE PUGLIA,molfetta VERDI,PUGLIA,249920,IT1603A,Molfetta,PIAZZA VERDI,POINT (16.605 41.200278),41.200278,16.605,10,8,Nitrogen dioxide (air),NO2,SPO.IT1603A_8_chemi_2004-05-01_00:00:00,SPP.IT1603A_8_chemi_2004-05-01_00:00:00,SAM.IT1603A_8_chemi_2004-05-01_00:00:00,2025-04-10T07:00:00,2025-04-10T08:00:00,23.75,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,498294577,1038411,230293,0,6,Metodo Automatico,Chemiluminescence
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-139a,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,8,Nitrogen dioxide (air),NO2,SPO.IT1598A_8_chemi_2005-01-01_00:00:00,SPP.IT1598A_8_chemi_2005-01-01_00:00:00,SAM.IT1598A_8_chemi_2005-01-01_00:00:00,2025-04-09T02:00:00,2025-04-09T03:00:00,4.68,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,498014535,1038404,229781,0,6,Metodo Automatico,Chemiluminescence
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-1399,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,8,Nitrogen dioxide (air),NO2,SPO.IT1598A_8_chemi_2005-01-01_00:00:00,SPP.IT1598A_8_chemi_2005-01-01_00:00:00,SAM.IT1598A_8_chemi_2005-01-01_00:00:00,2025-04-09T03:00:00,2025-04-09T04:00:00,3.34,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,498024746,1038404,229782,0,6,Metodo Automatico,Chemiluminescence
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-1398,REGIONE PUGLIA,Manfredonia VIA DEI MANDORLI,PUGLIA,249918,IT1598A,Manfredonia,via dei mandorli,POINT (15.90944 41.62833),41.62833,15.90944,20,8,Nitrogen dioxide (air),NO2,SPO.IT1598A_8_chemi_2005-01-01_00:00:00,SPP.IT1598A_8_chemi_2005-01-01_00:00:00,SAM.IT1598A_8_chemi_2005-01-01_00:00:00,2025-04-09T04:00:00,2025-04-09T05:00:00,3.08,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,498026291,1038404,229783,0,6,Metodo Automatico,Chemiluminescence
