FID,network_name,station_name,region_name,station_id,station_eu_code,municipality_name,station_municipality,station_position,station_lat,station_lon,station_altitude,pollutant_id,pollutant_label,pollutant_notation,spo_local_id,spp_local_id,sam_local_id,data_record_start_time,data_record_end_time,data_record_value,observation_unit_notation,observation_unit_label,primary_observation_notation,primary_observation_label,data_record_id,sampling_point_id,row_id,flag_cur_snapshot,pollutant_level,measurement_type_label,measurement_method_label
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-3f8b,REGIONE PUGLIA,Caldarola,PUGLIA,249921,IT1606A,Bari,via caldarola,POINT (16.888056 41.113611),41.113611,16.888056,10,6001,Particulate matter < 2.5 µm (aerosol),PM2.5,SPO.IT1606A_6001_BETA_2015-02-07_00:00:00,SPP.IT1606A_6001_BETA_2015-02-07_00:00:00,SAM.IT1606A_6001_BETA_2015-02-07_00:00:00,2025-04-04T02:00:00,2025-04-05T02:00:00,10.3,µg/m3,Micrograms per cubic meter,day,Daily average/mean,496917401,1038418,401105,0,5,Metodo Automatico,Beta ray attenuation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-3f8a,REGIONE PUGLIA,Caldarola,PUGLIA,249921,IT1606A,Bari,via caldarola,POINT (16.888056 41.113611),41.113611,16.888056,10,6001,Particulate matter < 2.5 µm (aerosol),PM2.5,SPO.IT1606A_6001_BETA_2015-02-07_00:00:00,SPP.IT1606A_6001_BETA_2015-02-07_00:00:00,SAM.IT1606A_6001_BETA_2015-02-07_00:00:00,2025-04-05T02:00:00,2025-04-06T02:00:00,9.9,µg/m3,Micrograms per cubic meter,day,Daily average/mean,497148149,1038418,401106,0,6,Metodo Automatico,Beta ray attenuation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-3f89,REGIONE PUGLIA,Caldarola,PUGLIA,249921,IT1606A,Bari,via caldarola,POINT (16.888056 41.113611),41.113611,16.888056,10,6001,Particulate matter < 2.5 µm (aerosol),PM2.5,SPO.IT1606A_6001_BETA_2015-02-07_00:00:00,SPP.IT1606A_6001_BETA_2015-02-07_00:00:00,SAM.IT1606A_6001_BETA_2015-02-07_00:00:00,2025-04-06T02:00:00,2025-04-07T02:00:00,13.3,µg/m3,Micrograms per cubic meter,day,Daily average/mean,497360004,1038418,401107,0,5,Metodo Automatico,Beta ray attenuation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-3f88,REGIONE PUGLIA,Caldarola,PUGLIA,249921,IT1606A,Bari,via caldarola,POINT (16.888056 41.113611),41.113611,16.888056,10,6001,Particulate matter < 2.5 µm (aerosol),PM2.5,SPO.IT1606A_6001_BETA_2015-02-07_00:00:00,SPP.IT1606A_6001_BETA_2015-02-07_00:00:00,SAM.IT1606A_6001_BETA_2015-02-07_00:00:00,2025-04-07T02:00:00,2025-04-08T02:00:00,10,µg/m3,Micrograms per cubic meter,day,Daily average/mean,497608453,1038418,401108,0,6,Metodo Automatico,Beta ray attenuation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-3f87,REGIONE PUGLIA,Caldarola,PUGLIA,249921,IT1606A,Bari,via caldarola,POINT (16.888056 41.113611),41.113611,16.888056,10,6001,Particulate matter < 2.5 µm (aerosol),PM2.5,SPO.IT1606A_6001_BETA_2015-02-07_00:00:00,SPP.IT1606A_6001_BETA_2015-02-07_00:00:00,SAM.IT1606A_6001_BETA_2015-02-07_00:00:00,2025-04-08T02:00:00,2025-04-09T02:00:00,5.1,µg/m3,Micrograms per cubic meter,day,Daily average/mean,497862587,1038418,401109,0,6,Metodo Automatico,Beta ray attenuation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-3f86,REGIONE PUGLIA,Caldarola,PUGLIA,249921,IT1606A,Bari,via caldarola,POINT (16.888056 41.113611),41.113611,16.888056,10,6001,Particulate matter < 2.5 µm (aerosol),PM2.5,SPO.IT1606A_6001_BETA_2015-02-07_00:00:00,SPP.IT1606A_6001_BETA_2015-02-07_00:00:00,SAM.IT1606A_6001_BETA_2015-02-07_00:00:00,2025-04-09T02:00:00,2025-04-10T02:00:00,5.2,µg/m3,Micrograms per cubic meter,day,Daily average/mean,498097442,1038418,401110,0,6,Metodo Automatico,Beta ray attenuation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-3f85,REGIONE PUGLIA,Caldarola,PUGLIA,249921,IT1606A,Bari,via caldarola,POINT (16.888056 41.113611),41.113611,16.888056,10,6001,Particulate matter < 2.5 µm (aerosol),PM2.5,SPO.IT1606A_6001_BETA_2015-02-07_00:00:00,SPP.IT1606A_6001_BETA_2015-02-07_00:00:00,SAM.IT1606A_6001_BETA_2015-02-07_00:00:00,2025-04-10T02:00:00,2025-04-11T02:00:00,8.9,µg/m3,Micrograms per cubic meter,day,Daily average/mean,498340308,1038418,401111,0,6,Metodo Automatico,Beta ray attenuation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-3f84,REGIONE PUGLIA,Caldarola,PUGLIA,249921,IT1606A,Bari,via caldarola,POINT (16.888056 41.113611),41.113611,16.888056,10,6001,Particulate matter < 2.5 µm (aerosol),PM2.5,SPO.IT1606A_6001_BETA_2015-02-07_00:00:00,SPP.IT1606A_6001_BETA_2015-02-07_00:00:00,SAM.IT1606A_6001_BETA_2015-02-07_00:00:00,2025-04-11T02:00:00,2025-04-12T02:00:00,11,µg/m3,Micrograms per cubic meter,day,Daily average/mean,498588378,1038418,401112,0,5,Metodo Automatico,Beta ray attenuation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-3f83,REGIONE PUGLIA,Caldarola,PUGLIA,249921,IT1606A,Bari,via caldarola,POINT (16.888056 41.113611),41.113611,16.888056,10,6001,Particulate matter < 2.5 µm (aerosol),PM2.5,SPO.IT1606A_6001_BETA_2015-02-07_00:00:00,SPP.IT1606A_6001_BETA_2015-02-07_00:00:00,SAM.IT1606A_6001_BETA_2015-02-07_00:00:00,2025-04-12T02:00:00,2025-04-13T02:00:00,11.7,µg/m3,Micrograms per cubic meter,day,Daily average/mean,498823958,1038418,401113,0,5,Metodo Automatico,Beta ray attenuation
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-3f82,REGIONE PUGLIA,Caldarola,PUGLIA,249921,IT1606A,Bari,via caldarola,POINT (16.888056 41.113611),41.113611,16.888056,10,6001,Particulate matter < 2.5 µm (aerosol),PM2.5,SPO.IT1606A_6001_BETA_2015-02-07_00:00:00,SPP.IT1606A_6001_BETA_2015-02-07_00:00:00,SAM.IT1606A_6001_BETA_2015-02-07_00:00:00,2025-04-13T02:00:00,2025-04-14T02:00:00,11.4,µg/m3,Micrograms per cubic meter,day,Daily average/mean,499036777,1038418,401114,0,5,Metodo Automatico,Beta ray attenuation
